region_name,nodes,edges,edge_node_ratio
cantanyonehereplaythisgame.com,13,14,1.0769230769230769
amilamia.com,9,8,0.8888888888888888
alandalus.net,12,13,1.0833333333333333
auabid.com,13,14,1.0769230769230769
3288w.com,5,4,0.8
c3573.cn,5,4,0.8
al-uzaizat.com,22,21,0.9545454545454546
advancedcolonmax.com,10,9,0.9
cacities.com,18,19,1.0555555555555556
ceteam.com,25,27,1.08
arquivohistorico.org,13,12,0.9230769230769231
5f9.net,19,18,0.9473684210526315
c5343.cn,5,4,0.8
23cb.com,9,9,1.0
cinziapirozzi.com,21,20,0.9523809523809523
adgizmo.com,12,11,0.9166666666666666
bigphreaknastybutklassy.com,15,14,0.9333333333333333
assasinos.com,12,13,1.0833333333333333
attakapas.com,13,14,1.0769230769230769
88a.us,14,14,1.0
carbonsequestration.ca,14,16,1.1428571428571428
canada-stockwatch.com,16,16,1.0
angioedema.com,15,16,1.0666666666666667
16my.com,18,17,0.9444444444444444
boomy.it,17,16,0.9411764705882353
chakus.de,14,13,0.9285714285714286
caboo.com,12,13,1.0833333333333333
buybooks.eu,13,14,1.0769230769230769
artbcn.eu,13,14,1.0769230769230769
chroniccaresolutions.com,13,14,1.0769230769230769
almizan.org,12,11,0.9166666666666666
cancergenomics.com,11,10,0.9090909090909091
chandlerwheels.com,17,16,0.9411764705882353
a2608.cn,5,4,0.8
afoolandaknave.com,15,16,1.0666666666666667
bijouxluna.com,17,16,0.9411764705882353
bartelsen24.de,18,18,1.0
1sizedoesntfitall.com,17,16,0.9411764705882353
ashendael.com,16,17,1.0625
catoctinkennelclub.org,18,20,1.1111111111111112
biopi.com,12,13,1.0833333333333333
addyourpoint.com,14,13,0.9285714285714286
century21dfw.com,13,14,1.0769230769230769
carolpotterpoetry.com,12,11,0.9166666666666666
blogtopics.net,14,15,1.0714285714285714
casket.eu,12,13,1.0833333333333333
citywork.de,12,13,1.0833333333333333
bullified.com,21,22,1.0476190476190477
811it.com,15,16,1.0666666666666667
budon.com,15,16,1.0666666666666667
cheeranddance.com,14,14,1.0
carapp.de,12,13,1.0833333333333333
antiguabarbuda.com,12,13,1.0833333333333333
amundsen.eu,12,13,1.0833333333333333
achse.at,12,13,1.0833333333333333
aristeg.com,18,17,0.9444444444444444
charlesnullens.com,11,10,0.9090909090909091
bdtoys.com,12,13,1.0833333333333333
boombastick.net,9,8,0.8888888888888888
chopsticklarceny.com,14,15,1.0714285714285714
career1.net,14,13,0.9285714285714286
amivil.com,14,13,0.9285714285714286
bretagne20.fr,12,13,1.0833333333333333
aljesr.com,11,10,0.9090909090909091
315weixiu.com,10,9,0.9
9vk.net,19,20,1.0526315789473684
clintrial.com,15,16,1.0666666666666667
aimut.com,15,16,1.0666666666666667
10tacle.com,22,23,1.0454545454545454
baumaschine-verkauf.de,12,13,1.0833333333333333
7designs.co,18,20,1.1111111111111112
celtic-music.com,13,12,0.9230769230769231
36ucc.com,14,13,0.9285714285714286
careme350.com,18,17,0.9444444444444444
brandhorn.com,14,15,1.0714285714285714
bokeplucah.com,13,12,0.9230769230769231
antitoxic.com,12,13,1.0833333333333333
bigbayhost.com,22,27,1.2272727272727273
bagse.com,20,19,0.95
axiomat.com,16,15,0.9375
amigasvip.net,11,10,0.9090909090909091
bvor.com,13,14,1.0769230769230769
asdev.net,13,12,0.9230769230769231
ceti.eu,12,13,1.0833333333333333
cashocash.de,13,14,1.0769230769230769
atascosacountytexas.us,14,13,0.9285714285714286
b8909.cn,5,4,0.8
cloues.com,10,9,0.9
changeu.com,15,16,1.0666666666666667
adrianarchitecture.com,15,16,1.0666666666666667
besparenoptelecom.nl,17,16,0.9411764705882353
bahio.com,12,11,0.9166666666666666
avshd.com,3,2,0.6666666666666666
cascades.net,12,13,1.0833333333333333
aaahosting95.de,22,27,1.2272727272727273
3790.de,12,13,1.0833333333333333
burnsvilleblaze.com,13,12,0.9230769230769231
blastalliance.com,16,15,0.9375
caycoreps.com,22,27,1.2272727272727273
babees.com,12,13,1.0833333333333333
cebu.cn,12,13,1.0833333333333333
carpathianforest.com,12,11,0.9166666666666666
aigue.de,15,16,1.0666666666666667
at-gc.com,16,16,1.0
coffeerepublicans.net,13,12,0.9230769230769231
barrelracingsaddles.biz,13,14,1.0769230769230769
bywild.com,25,25,1.0
caughtandloose.com,12,13,1.0833333333333333
b6482.cn,5,4,0.8
abcinvestigations.net,19,19,1.0
auditionsshoes.com,46,50,1.0869565217391304
0419w.com,9,9,1.0
06g35.com,11,10,0.9090909090909091
3-well.net,12,11,0.9166666666666666
amateurbangers.com,17,18,1.0588235294117647
5ysj.com,14,13,0.9285714285714286
adwebmark.com,14,14,1.0
chapelcreek.net,15,16,1.0666666666666667
beobachter.ch,23,26,1.1304347826086956
bvna.com,12,13,1.0833333333333333
